< SN >	< Username >	< Country >	< Points >
1	HackXore	MA	8600
2	dcua	UA	8300
3	khack40	FR	8200
4	testdata	IN	8000
5	OpenToAll	US	8000
6	str	PL	7900
7	meepwn	VN	7800
8	foo	AF	7800
9	z3r0	IN	7800
10	H4rryp0tt3r	IN	7700
11	blah_blah	IN	7600
12	P3t3rp4rk3r	IN	7600
13	bobbob	KR	7500
14	knc	IN	7400
15	ISITDTU	VN	7400
16	0xc0d3r	IN	7400
17	sec0d	FR	7300
18	p4	PL	7200
19	#GLOBALHACK	IN	7200
20	aggkunal	IN	7000
21	ASIS	IR	6800
22	w0pr	ES	6600
23	Insanity	ES	6500
24	Raccoons	PL	6400
25	Taipei-Meow	TW	6000
26	Dystopian Narwhals	SG	5900
27	kopipacket	SG	5800
28	RPISEC	US	5500
29	Shellphish	US	5500
30	xil.se	SE	5500
31	Fast Affine Projection	ID	5500
32	b01lers	US	5400
33	Indust3r	IN	5400
34	ecx_inc	US	5300
35	NYUSEC	CD	5300
36	dmuhackers	GB	5300
37	0x90r00t	FR	5200
38	0xbadf00d	GB	5100
39	sdslabs	IN	5100
40	Invulnerable	RU	5000
41	pony7	FR	4900
42	vhssunny1	IN	4900
43	BambooFox	TW	4900
44	9SOC_team	US	4700
45	0x34044	IN	4700
46	farmingsimulator2015	AF	4700
47	BreakPoint	TR	4600
48	Shady Hats	PL	4500
49	unicornsandrainbows	AF	4500
50	firebeard	IN	4500
51	Anonymouse	IN	4500
52	cyberboss	IN	4500
53	UTDSFS	US	4400
54	imandog	US	4400
55	fuffateam	IT	4400
56	PPP	US	4300
57	Dragon Sector	PL	4300
58	bangarubabu	IN	4300
59	0wl	IN	4200
60	BUCSS	GB	4200
61	LosFuzzys	AT	4200
62	batman	IN	4200
63	objEEdump	US	4200
64	franky	US	4100
65	alla2	KZ	4100
66	vtcsec	US	4000
67	bbakwas	AF	4000
68	CaptureTheSwag	AU	4000
69	shivamd001	IN	4000
70	All4Hacks	PL	4000
71	towerofhanoi	IT	3900
72	fetchAndLog	PL	3900
73	bitsforeveryone	US	3800
74	cyberkastike	FI	3800
75	hashtagShells	US	3800
76	Brutewoorse	DE	3800
77	Singularity	RU	3800
78	mani0x00	IN	3800
79	tw33tm3	IN	3800
80	vrth	GS	3700
81	laxa	FR	3700
82	karthik	IN	3700
83	At Least We&#039;re Pretty	GB	3700
84	dc562	US	3700
85	crayontheft	GB	3700
86	LettersS	NL	3700
87	BalalaikaCr3w	RU	3700
88	penthackon	RO	3600
89	ALLES!	DE	3600
90	squeel	DK	3500
91	semyon	AU	3500
92	coj337	AU	3500
93	fiery_falcon	IN	3500
94	drdr	PL	3500
95	dotHack//	CA	3500
96	GNUConn	US	3500
97	nUl1	RU	3500
98	rpdsec	IN	3500
99	CorpOfHack	RU	3500
100	41r574ck	IN	3400
101	a00rs	IN	3400
102	shsirk	IN	3400
103	Rõnins	ES	3400
104	chomuX	IN	3400
105	TKOX	VN	3400
106	!SpamAndHex	HU	3300
107	0night	US	3300
108	def_init_self	IN	3300
109	Gilgamesh	IN	3300
110	AFNOM	GB	3300
111	Execut3	IR	3300
112	francis_c	RU	3300
113	theta	IN	3200
114	brucel33t	CA	3200
115	err0r-451	RU	3200
116	In7rud3r	IN	3200
117	scorpioinsecure	IN	3200
118	c0mrad3	IN	3200
119	kamatvishnu14	IN	3200
120	kohi	US	3200
121	nvivekk	IN	3200
122	latigic	US	3200
123	WCSC	US	3200
124	nullify	US	3200
125	securityninja	IN	3200
126	psmkreddy	IN	3200
127	du1iqvw	CZ	3200
128	nu4nu	JP	3100
129	MrGrey	BE	3100
130	HaciYatmaz	TR	3100
131	akredhat	US	3000
132	vatsaldesai93	US	3000
133	Team_Sportsball	US	3000
134	knightsec	AF	3000
135	hexpresso	FR	3000
136	jagotu	CZ	3000
137	ugalesujit	IN	3000
138	Kileak	DE	3000
139	incision	US	2900
140	pradyotprakash	IN	2900
141	deadcode	IN	2900
142	u7karsh	IN	2900
143	Lfuret	FR	2900
144	luhar	IN	2900
145	wtfmehftw	US	2900
146	HfxCTF	CA	2900
147	krgaurav94	IN	2800
148	nishantsny	IN	2800
149	Luffy	US	2800
150	wctfumich	US	2800
151	DarkShell	PS	2800
152	spyoff	ID	2800
153	reblsrbck	IN	2800
154	ascii overflow	US	2800
155	wizard of skn	TH	2800
156	ScienZiati	MA	2800
157	fffroze	CA	2800
158	aaaa	US	2800
159	ShadowCats	US	2700
160	Against All Authority	US	2700
161	vaibhav	IN	2700
162	Zanglirex	AF	2700
163	Hackstangs	CA	2700
164	Nxgr	FR	2700
165	Magic-Hat	RU	2700
166	q86	TW	2700
167	OpDeKast	NL	2700
168	c0dist	IN	2600
169	viod	FR	2600
170	rohitdua	IN	2600
171	KiFastSystemCallRet	IR	2600
172	hariram.mit25@gmail.com	US	2600
173	Robyn	FI	2600
174	ChrizBMX	DE	2600
175	huskyhusky	FI	2600
176	rfc8136	US	2600
177	milosdescendent@gmail.com	US	2600
178	Desiprox_Team	MA	2600
179	SUSlo.PAS	RU	2500
180	govind	IN	2500
181	dtuhax	DK	2500
182	Samurai	CA	2500
183	math	IN	2500
184	SwissMadeSecurity	CH	2500
185	oddcoder	EG	2500
186	HackCat	KR	2500
187	0x8F	GB	2400
188	jnqpblc	US	2400
189	TokyoWesterns	JP	2400
190	Hans6626	JP	2400
191	bitspleaz	IN	2300
192	peakchaos	US	2300
193	SocietyMen	US	2300
194	jetal	AU	2300
195	ninja	IN	2300
196	ark	FR	2300
197	th3jackers1	DZ	2300
198	MV9rwGOf08	RU	2300
199	mau5	MN	2300
200	I Like Trains	PL	2300
201	d4rwinb0ts	US	2300
202	katachi	AF	2200
203	Gh0$t	IN	2200
204	int3pids	ES	2200
205	awful	CN	2200
206	hoxy	AT	2200
207	bl4de	PL	2200
208	N2IQU	US	2200
209	seabreeze	CN	2200
210	rohit.patil	IN	2200
211	TheGoonies	BR	2200
212	blah.cat	FR	2100
213	gator	US	2100
214	DFCI	ID	2100
215	kesatriagaruda	ID	2000
216	port229	ID	2000
217	bicycle_overdrive	RU	2000
218	Avidya	GB	2000
219	TenDollar	KR	2000
220	mohit.rajpal	IN	2000
221	hrkljus	HR	2000
222	Ap4021	IN	2000
223	cor3sm4sh3r	IN	2000
224	b00m	IN	1900
225	smoke leet everyday	NL	1900
226	crimson	IN	1900
227	mohana.kumari	IN	1900
228	ganesh.sp	IN	1900
229	sujith	IN	1900
230	rah_chitale	IN	1900
231	logicbomb	IN	1900
232	derp2	AF	1800
233	flatline	US	1800
234	chessy404	IN	1800
235	hermy310	IN	1800
236	king_ghidorah	SE	1800
237	tentpegbob	US	1800
238	vssubish	IN	1800
239	spam0day	FR	1800
240	moniker	US	1800
241	fasil.ullatt	IN	1800
242	Harshal24	IN	1800
243	j	ES	1800
244	ausdrifter	AU	1700
245	KKBOX	TW	1700
246	dozty	SG	1700
247	nilo	BR	1700
248	DhashS	US	1700
249	buttegab	US	1700
250	jempty	US	1700
251	BTSec	MA	1700
252	lmred	CN	1700
253	beefcheese	US	1600
254	abzaan	BH	1600
255	David	IN	1600
256	BatmansKitchen	US	1600
257	AMG7	IN	1600
258	C0debr8kr	IN	1600
259	dotelite	NL	1600
260	Song	CN	1600
261	qqqppp	AF	1600
262	esamhacks	AF	1600
263	HacknamStyle	BE	1600
264	koibasta	RU	1600
265	deletefoo	AI	1600
266	krish	IN	1600
267	MammonMachine	US	1500
268	rishabhd	IN	1500
269	ZieloneZuczki	PL	1500
270	wagiro	ES	1500
271	Efiens	VN	1500
272	Bopoznpvt	VN	1500
273	vulnhub-ctf	GB	1500
274	nusgreyhats	SG	1500
275	HansHerbert	DE	1500
276	macebich	DE	1500
277	SGFk	RU	1500
278	byteshredders	FI	1500
279	Kaida@52	NL	1500
280	bushwhackers	RU	1500
281	Corb3nik	CA	1400
282	jseida	US	1400
283	dummy1	AF	1400
284	Saravanaz	IN	1400
285	r4ms3sh	IN	1400
286	harcon_	IN	1400
287	mridula	IN	1400
288	loco	BZ	1400
289	shodeadman	US	1400
290	cowardmind	SG	1400
291	shiplem3	US	1400
292	ignatius	IN	1400
293	FluxFingers	DE	1400
294	girav	RU	1400
295	taurus	JP	1400
