112 425
1 2 0
1 3 4
1 4 5
2 3 7
2 10 10
2 15 11
2 18 15
2 19 18
2 20 23
2 29 26
2 42 27
2 46 28
2 47 29
2 52 30
2 92 39
2 103 41
3 4 42
3 10 46
3 12 48
3 15 49
3 18 50
3 22 57
3 23 61
3 24 64
3 25 66
3 26 67
3 27 68
3 28 72
3 32 80
3 35 81
3 37 83
3 42 85
3 43 89
3 46 91
3 51 94
3 52 98
3 55 99
3 67 104
3 74 105
3 84 106
3 94 109
3 98 111
3 99 113
3 103 116
3 105 119
3 106 120
3 112 121
4 10 122
4 11 128
4 19 131
4 42 135
4 44 136
4 52 142
4 86 143
5 6 144
5 90 145
6 7 147
6 18 148
6 28 149
6 33 152
6 40 156
6 44 158
7 8 163
7 33 164
7 52 166
7 53 167
7 56 170
8 16 175
8 18 178
8 22 181
8 38 185
8 39 188
8 52 202
8 71 206
8 76 207
8 88 208
8 107 218
9 10 219
10 13 221
10 18 223
10 25 224
10 26 226
10 27 227
10 40 229
10 41 230
10 43 234
10 60 236
10 61 237
10 62 239
10 63 240
10 90 241
11 12 243
11 13 246
11 51 248
12 41 249
12 64 251
12 70 259
12 99 260
12 105 261
13 18 262
13 19 264
13 44 268
13 51 269
13 88 270
13 89 273
13 103 274
13 105 278
14 15 279
14 16 280
14 17 282
14 18 284
14 19 288
14 103 289
15 17 290
15 18 293
15 26 295
15 37 301
15 38 302
15 60 303
15 69 307
15 72 311
15 106 312
16 18 314
16 33 317
16 39 322
16 44 326
16 49 327
16 76 332
16 77 335
16 80 337
16 89 338
16 105 339
17 69 340
18 22 342
18 23 344
18 25 350
18 26 352
18 27 354
18 28 358
18 29 360
18 32 363
18 33 365
18 35 367
18 36 368
18 37 370
18 38 372
18 39 375
18 44 377
18 45 382
18 51 386
18 52 387
18 53 388
18 55 393
18 66 394
18 67 395
18 68 397
18 71 401
18 73 403
18 78 405
18 81 406
18 83 411
18 84 415
18 85 416
18 86 418
18 87 420
18 88 421
18 89 423
18 90 425
18 94 430
18 99 432
18 103 434
18 104 435
18 105 438
19 22 442
19 30 443
19 35 444
19 44 445
19 45 449
19 51 450
19 52 451
19 54 454
19 55 456
19 61 457
20 21 458
20 22 459
20 23 461
20 24 462
20 25 464
20 26 465
20 27 467
20 28 469
21 44 473
21 80 474
21 95 475
21 109 476
22 29 477
22 44 480
22 49 484
22 51 487
22 52 489
23 46 493
23 95 494
24 44 496
24 48 497
24 52 500
24 60 501
24 70 503
24 106 505
25 37 506
25 44 509
25 48 515
25 50 517
25 69 518
25 76 520
25 77 521
25 88 522
25 104 523
25 105 525
25 109 528
26 31 529
26 42 540
26 47 541
26 49 542
26 52 543
26 60 544
26 78 548
26 89 549
26 105 550
27 44 554
27 52 555
27 57 556
27 69 558
27 80 559
27 81 562
27 105 564
28 44 566
28 53 569
28 55 572
28 64 573
28 69 574
28 77 576
28 80 577
28 81 578
28 88 583
28 97 584
28 104 589
29 30 591
29 31 593
29 32 594
29 33 595
29 34 597
29 35 598
29 36 599
29 45 600
29 90 602
29 93 603
30 59 604
30 75 609
30 80 611
31 52 615
31 80 617
31 85 619
31 93 620
32 33 623
32 42 624
32 44 625
32 52 631
32 80 632
32 87 635
32 104 636
32 105 637
32 109 638
33 52 643
33 53 649
33 71 650
33 101 651
34 77 652
34 85 653
34 105 654
34 108 656
35 52 661
35 55 662
35 108 666
36 49 669
36 52 672
36 72 674
36 105 676
37 44 677
37 56 678
37 88 684
38 39 685
38 48 688
38 58 689
38 59 690
38 60 698
38 73 700
38 104 703
39 40 705
39 41 712
39 42 713
39 52 714
39 105 715
40 44 717
40 104 718
41 57 721
42 43 722
42 44 724
43 52 725
43 57 728
43 80 730
43 91 733
44 45 736
44 49 737
44 60 738
44 64 739
44 67 740
44 71 743
44 81 744
44 82 746
44 84 747
44 99 748
44 100 749
44 101 750
45 46 754
45 51 755
45 103 758
46 53 761
46 74 763
47 105 769
48 49 771
48 50 774
49 51 776
49 77 780
49 89 785
49 105 786
50 52 793
50 60 796
50 69 799
51 52 800
51 53 801
51 54 802
51 55 805
51 79 807
51 103 808
51 105 809
52 55 811
52 58 815
52 60 817
52 67 818
52 68 819
52 69 820
52 102 821
52 107 822
53 57 825
54 55 826
54 74 828
54 90 832
54 103 835
55 69 838
55 71 839
55 73 844
55 76 845
55 79 850
56 71 852
58 76 853
60 66 857
60 71 859
60 72 860
60 73 861
60 105 865
61 72 868
61 77 870
61 102 873
62 105 883
63 72 885
64 65 887
64 66 888
66 85 889
66 88 892
66 104 895
67 73 896
67 76 897
67 103 900
68 77 904
68 88 906
69 71 908
69 74 909
69 76 910
69 85 912
71 76 913
71 88 916
71 103 917
71 106 920
72 74 925
73 81 927
73 106 928
74 77 929
74 104 931
76 77 932
76 78 933
77 81 934
77 93 936
77 107 937
79 80 940
80 82 941
80 84 942
80 110 943
80 111 944
81 82 946
81 107 948
82 95 950
82 99 955
82 105 960
84 88 961
85 105 962
89 107 963
90 93 965
90 100 966
93 96 971
93 97 975
97 107 980
101 111 982
104 105 986
105 106 987
106 109 992
