Place	Team	Web	Crypto	Forensics	Reverse	Misc	Pwn	Reward	Total
1	irGeeks	1459	1072	1235	1540	1005	1086	-	7397
2	LosFuzzys	1414	1434	715	1100	750	1396	100	6909
3	int3pids	1399	1149	1030	1160	450	1436	-	6624
4	ASIS	557	1349	1710	1100	650	450	-	5816
5	0daysober	1095	1344	308	1500	400	1043	-	5690
6	DlcsHrs	1324	912	650	1580	800	400	-	5666
7	dcua	783	1072	650	1130	300	1496	-	5431
8	p4team	1080	872	510	600	450	1486	-	4998
9	DragonSector2	1195	500	500	900	450	1419	-	4964
10	LCBC	773	835	830	900	750	665	-	4753
11	scryptos	356	985	400	1160	100	1396	-	4397
12	kowliz	763	650	650	800	300	1073	-	4236
13	Ox002147	354	1344	750	900	765	50	-	4163
14	galactictrendsetters	206	2169	783	300	458	50	-	3966
15	STT	355	1737	750	600	450	50	-	3942
16	FluxFingers	1080	557	150	900	660	300	-	3647
17	SnatchTheRoot	558	350	490	900	700	50	-	3048
18	defbra	559	407	308	1100	450	50	-	2874
19	WE0WNY0U	763	300	600	300	450	400	-	2813
20	MagicHat	763	572	300	900	250	-	-	2785
21	Pwnium	355	650	-	1540	150	50	-	2745
22	jbz	1080	-	150	900	550	50	-	2730
23	yonghwi	703	200	-	600	250	973	-	2726
24	ctfAalborg	1120	300	500	300	450	50	-	2720
25	CaptureTheSwag	578	150	600	650	650	50	-	2678
26	w0pr	1	1129	400	600	450	50	-	2630
27	WizardsOfDos	1	1112	400	500	300	300	-	2613
28	EpicTeam	1080	150	150	600	450	-	100	2530
29	H4x0rPsch0rr	1	720	150	1100	100	450	-	2521
30	Balsn	1	1329	-	900	150	50	-	2430
31	squareroots	763	300	415	800	100	50	-	2428
32	Lor3m	408	450	350	800	300	50	-	2358
33	0x90r00t	1080	300	150	300	150	300	-	2280
34	Shellphish	410	150	150	800	300	450	-	2260
35	Bushwhackers	205	-	300	1100	100	450	-	2155
36	maro	354	-	-	1535	100	50	-	2039
37	khack40	151	-	250	800	510	300	-	2011
38	knightsIR	355	150	400	800	300	-	-	2005
39	CTFinfinit	1	-	520	1000	100	300	-	1921
40	Infiltrat3	1469	-	150	50	100	50	-	1819
41	edger	1	-	-	300	-	1501	-	1802
42	farmingsimulator2015	354	-	300	600	450	50	-	1754
43	LEGOFAN	763	-	300	300	300	50	-	1713
44	hakado	1090	-	300	200	100	-	-	1690
45	TokyoWesterns	204	200	300	300	-	650	-	1654
46	Cambridge2	356	1047	-	200	50	-	-	1653
47	REU	1	-	300	900	400	-	-	1601
48	JustMe	1	150	800	300	300	50	-	1601
49	blackbunny	151	-	250	900	250	50	-	1601
50	tmtz	468	-	-	900	100	50	-	1518
51	Beers4Flags	558	150	-	300	450	50	-	1508
52	JohnDoe	1	-	300	1100	100	-	-	1501
53	noraneco	1	150	350	900	50	50	-	1501
54	ShadyHats	1	150	100	900	300	50	-	1501
55	TheNorthernCoalition	558	300	-	300	250	50	-	1458
56	YoloSw4g	354	150	550	200	150	50	-	1454
57	EISTI	151	-	300	900	-	50	-	1401
58	z3r0n8	1194	-	-	50	100	-	-	1344
59	0ctet	205	150	300	200	450	-	-	1305
60	Invulnerable	355	-	-	720	150	50	-	1275
61	Antichat	151	150	150	615	100	50	-	1216
62	0x00C0FFEE	1	150	410	500	150	-	-	1211
63	JustHitTheCore	151	150	-	600	250	50	-	1201
64	item404	672	-	350	50	100	-	-	1172
65	nther	763	-	-	300	100	-	-	1163
66	koko	558	-	-	500	100	-	-	1158
67	xSTF	1	150	-	600	100	300	-	1151
68	BatmansKitchen	151	300	150	300	50	200	-	1151
69	Honeypot	1	-	400	600	100	50	-	1151
70	SpyDer	1	450	150	300	150	50	-	1101
71	peterx	1	-	-	1100	-	-	-	1101
72	InfectedPacket	1	-	300	500	300	-	-	1101
73	Apppppppple	1	-	150	800	150	-	-	1101
74	UFOlogists	1	-	700	300	100	-	-	1101
75	koibasta	763	-	-	300	-	-	-	1063
76	OpenToAll	558	-	-	300	150	50	-	1058
77	PequalsNP	354	-	150	300	250	-	-	1054
78	m4try0shk4	151	150	-	600	150	-	-	1051
79	MV9rwGOf08	151	150	150	300	100	200	-	1051
80	xilse	1	-	-	740	250	-	-	991
81	Bikan	875	-	-	50	-	50	-	975
82	TheGoonies	355	-	150	300	100	50	-	955
83	PUSSYCAT1KILL1KILL	151	150	150	300	150	50	-	951
84	kopipacket	1	150	300	300	150	50	-	951
85	VoidHack	1	-	-	800	150	-	-	951
86	d4rkc0de	1	-	300	300	250	50	-	901
87	CleanC0w	1	300	150	200	200	50	-	901
88	0xc0ffee	1	-	-	600	-	300	-	901
89	pwn1e	1	-	-	800	100	-	-	901
90	RNNF	-	-	-	900	-	-	-	900
91	217	1	720	-	50	50	50	-	871
92	OneDollar	1	150	250	300	100	50	-	851
93	AFNOM	1	450	-	200	150	50	-	851
94	DirtyCOW	1	-	300	200	300	50	-	851
95	BonoiPad	1	300	150	300	50	50	-	851
96	bi0s	1	-	100	600	100	50	-	851
97	pidgone	205	-	-	330	250	50	-	835
98	TrendKiller	206	-	350	-	250	-	-	806
99	UPTim	356	-	-	300	100	50	-	806
100	controversial	1	150	300	50	300	-	-	801
101	InnovationParis	1	-	-	600	150	50	-	801
102	Lilac	1	557	150	50	-	-	-	758
103	HackInfinity	205	-	-	200	300	50	-	755
104	0xCB3	1	150	150	300	100	50	-	751
105	Contagion	1	150	150	300	100	50	-	751
106	booms	1	-	-	600	150	-	-	751
107	SHARK	1	-	150	500	100	-	-	751
108	Juxim	1	-	150	150	450	-	-	751
109	ABC	1	-	300	200	250	-	-	751
110	N0obz	558	-	-	50	100	-	-	708
111	Script0ld1es	205	-	-	300	150	50	-	705
112	LeaveCat	354	-	-	300	-	50	-	704
113	Team85	1	-	-	500	150	50	-	701
114	ITCrowd	151	-	150	150	250	-	-	701
115	kolang	1	-	150	300	250	-	-	701
116	pwniebears	355	-	100	50	100	50	-	655
117	Hackademics	355	-	-	200	100	-	-	655
118	ENSI	205	-	-	300	100	50	-	655
119	PPP	1	-	-	500	150	-	-	651
120	fennec	151	-	-	200	250	50	-	651
121	noTeamName	1	-	150	200	-	300	-	651
122	Harekaze	1	-	300	200	150	-	-	651
123	dqi	-	150	-	300	150	50	-	650
124	zzoru	1	-	150	315	100	50	-	616
125	EthicalHackersClub	613	-	-	-	-	-	-	613
126	ELT	205	-	-	200	150	50	-	605
127	OPT	205	-	-	300	100	-	-	605
128	PTE	151	-	-	300	100	50	-	601
129	Efiens	1	-	-	600	-	-	-	601
130	WolfSecurity	151	-	-	300	100	50	-	601
131	DoubleSigma	1	150	-	300	100	50	-	601
132	himacrot	1	-	300	50	250	-	-	601
133	luxeria	1	-	150	300	100	50	-	601
134	goatplt	1	-	150	300	100	-	-	551
135	NYUSEC	1	300	-	200	-	50	-	551
136	t4hu	1	-	-	300	250	-	-	551
137	Somodo	1	-	-	500	50	-	-	551
138	AUCC	1	-	-	300	250	-	-	551
139	idsteam	151	-	-	300	100	-	-	551
140	anaconda	1	-	300	200	-	50	-	551
141	BITSkrieg	1	-	-	300	250	-	-	551
142	DC21321	1	-	-	200	250	50	-	501
143	StreetCtf	151	-	-	200	100	50	-	501
144	SoySauceRhapsody	151	-	-	300	-	50	-	501
145	xip	1	150	-	200	150	-	-	501
146	mohumohu	1	-	150	200	100	50	-	501
147	dnari	1	-	-	500	-	-	-	501
148	YubitSec	1	-	-	200	250	50	-	501
149	DATATECH	1	-	-	500	-	-	-	501
150	Pony7	151	-	-	200	150	-	-	501
151	GooniesWithoutChange	1	-	-	50	450	-	-	501
152	BabyPhD	1	158	-	300	-	-	-	459
153	wkk	205	-	-	200	-	50	-	455
154	SwissCyberStorm	1	-	-	300	100	50	-	451
155	Sadeq	1	300	150	-	-	-	-	451
156	Nawhack	1	-	-	300	100	50	-	451
157	Brutewoorse	1	-	-	200	250	-	-	451
158	CacheCrook	1	-	-	300	100	50	-	451
159	NTTSEC	1	-	-	300	100	50	-	451
160	NIS	1	-	-	300	150	-	-	451
161	invader	-	-	-	300	100	50	-	450
162	desertanon	1	-	100	50	280	-	-	431
163	Hackability	1	-	-	300	100	-	-	401
164	Citramonum	1	-	-	300	100	-	-	401
165	FWHIBBIT	1	-	-	300	100	-	-	401
166	atdog	1	-	-	-	100	300	-	401
167	cerealkillers	151	-	-	200	50	-	-	401
168	taurus	1	-	350	-	50	-	-	401
169	REBOOT	1	-	-	200	200	-	-	401
170	hans	1	-	-	300	100	-	-	401
171	oldschool	-	150	-	150	100	-	-	400
172	Ouroboros	206	-	-	50	100	-	-	356
173	xpo	355	-	-	-	-	-	-	355
174	omakase	1	-	250	50	-	50	-	351
175	flamezzz	1	-	-	300	-	50	-	351
176	PogTeam	1	-	-	150	200	-	-	351
177	Swampers	1	-	-	300	-	50	-	351
178	THEJACKER5	1	-	-	300	-	50	-	351
179	g0tiu5a	1	-	-	200	100	50	-	351
180	acdwas	1	-	150	200	-	-	-	351
181	fs0c13ty	1	-	-	200	150	-	-	351
182	rls1004	1	-	-	300	-	50	-	351
183	PHCN	1	-	-	208	100	-	-	309
184	swehack	205	-	-	50	-	50	-	305
185	AtLeastWeArePretty	1	-	150	50	100	-	-	301
186	NinjaOpenCore	1	-	-	200	100	-	-	301
187	mereana	1	-	-	300	-	-	-	301
188	phucteam	1	-	-	300	-	-	-	301
189	ShadySolutions	1	-	-	200	100	-	-	301
190	fookeet	1	-	-	200	100	-	-	301
191	enZyme	1	-	-	200	100	-	-	301
192	evilmaids	1	-	-	200	100	-	-	301
193	ISITDTU1	1	-	-	300	-	-	-	301
194	m3rlion1337	1	-	-	300	-	-	-	301
195	Kind	1	-	-	300	-	-	-	301
196	KerKerYuan	1	-	-	300	-	-	-	301
197	TimeIDA	1	-	-	300	-	-	-	301
198	ahihi	1	-	-	300	-	-	-	301
199	CactusField	1	150	150	-	-	-	-	301
200	TNET	1	-	-	200	100	-	-	301
201	lintile	1	-	-	50	250	-	-	301
202	Gecko	1	-	-	200	100	-	-	301
203	etcctf	1	-	-	300	-	-	-	301
204	0Shi00Shi	1	-	-	300	-	-	-	301
205	penpenweed	1	-	-	200	50	50	-	301
206	2O2L2H	1	-	-	200	100	-	-	301
207	DauGau	1	-	-	300	-	-	-	301
208	NeOLuxC1Ph3r	1	-	-	200	100	-	-	301
209	meandmyself	-	-	-	300	-	-	-	300
210	hr0	-	-	-	300	-	-	-	300
211	TeamOnymous	-	-	-	300	-	-	-	300
212	0o0o	-	-	-	300	-	-	-	300
213	ObsessiveCompulsive	1	-	-	200	-	50	-	251
