Place,Team,Score,Last submit
1,217,8360,18/12/2016 08:42:41
2,CLGTftMeePwn,5700,18/12/2016 07:15:07
3,BabyPhD,5500,18/12/2016 07:40:42
4,DragonSector2,4500,18/12/2016 08:24:03
5,dcua,2000,18/12/2016 08:50:10
6,ISITDTU,1900,18/12/2016 08:52:42
7,PiggyBird,1800,18/12/2016 05:31:59
8,Samurai,1700,18/12/2016 07:24:07
9,NightSt0rm,1600,18/12/2016 00:08:18
10,Bushwhackers,1600,18/12/2016 06:16:00
11,rmrf,1400,18/12/2016 08:54:46
12,DaltonBrothers,1200,18/12/2016 02:27:11
13,LSE,1100,18/12/2016 00:44:20
14,m3rlion1337,1000,18/12/2016 08:49:55
15,STeam,900,18/12/2016 00:39:04
16,opentoall,900,18/12/2016 04:01:40
17,kurachan,900,18/12/2016 05:06:51
18,Harekaze,800,18/12/2016 01:55:57
19,We0wnY0u,800,18/12/2016 03:58:08
20,InformationAntoan,800,18/12/2016 05:46:27
21,Bopoznpvt,700,18/12/2016 02:18:45
22,p4,700,18/12/2016 05:47:40
23,0daysober,700,18/12/2016 07:28:41
24,w0pr,700,18/12/2016 07:40:30
25,lollollol,600,17/12/2016 17:00:17
26,khack40,600,17/12/2016 20:43:15
27,BatmansKitchen,600,18/12/2016 03:14:39
28,T0x1cV4p0r,600,18/12/2016 05:36:21
29,noraneco,600,18/12/2016 08:01:45
30,f4lrik123,600,18/12/2016 08:06:10
31,JustHitTheCore,500,17/12/2016 20:36:02
32,ZeroDimension,500,18/12/2016 01:24:31
33,ELT,500,18/12/2016 02:39:50
34,d4rkc0de,400,17/12/2016 19:15:35
35,ANAME,400,18/12/2016 07:41:18
36,TenHopLe,400,18/12/2016 07:45:05
37,MV9rwGOf08,400,18/12/2016 08:03:25
38,BuffDTU,400,18/12/2016 08:52:56
39,LCBCLCBC,300,17/12/2016 13:11:26
40,igopyan,300,17/12/2016 18:00:48
41,NinjaInAodai,300,17/12/2016 21:44:21
42,LevitatingLion,300,17/12/2016 23:18:45
43,Aleuto,300,17/12/2016 23:24:17
44,MeshApiM,300,18/12/2016 00:24:53
45,2333333,300,18/12/2016 01:13:00
46,LEGOFAN,300,18/12/2016 02:58:13
47,Rawsec,300,18/12/2016 03:52:13
48,jinmo123,300,18/12/2016 05:37:54
49,CaptureTheSelena,300,18/12/2016 06:30:55
50,doges,300,18/12/2016 08:16:27
51,JollyRogerInsecurity,300,18/12/2016 08:33:34
52,BKDN20pGG,300,18/12/2016 08:39:01
53,LaoFao,200,17/12/2016 13:55:54
54,Zork4NNN,200,17/12/2016 16:10:16
55,VnArmy,200,17/12/2016 16:10:57
56,MSECNEW,200,17/12/2016 16:18:53
57,Getout,200,17/12/2016 16:32:24
58,Ph03nix,200,17/12/2016 16:32:44
59,pwniebears,200,17/12/2016 17:44:08
60,MhackGyver,200,17/12/2016 18:39:34
61,squareroots,200,17/12/2016 19:39:46
62,HackedTeam,200,17/12/2016 20:41:49
63,kazgeek,200,17/12/2016 22:42:57
64,SaiberSekuriti,200,17/12/2016 22:55:05
65,Instack,200,17/12/2016 23:05:54
66,CS16,200,18/12/2016 00:58:24
67,SSW,200,18/12/2016 01:13:14
68,NinjaOpenCore,200,18/12/2016 05:40:40
69,1nguoi,100,17/12/2016 09:53:34
70,unoTeam,100,17/12/2016 10:16:44
71,FIJ,100,17/12/2016 10:27:00
72,AVOP,100,17/12/2016 10:50:27
73,mkinga,100,17/12/2016 10:52:21
74,xTsudo,100,17/12/2016 10:58:24
75,ITNewbee,100,17/12/2016 11:01:42
76,ITCMUDTU,100,17/12/2016 11:16:19
77,ddd,100,17/12/2016 11:27:12
78,VL90Team,100,17/12/2016 11:34:15
79,idis,100,17/12/2016 11:44:54
80,aHiHi,100,17/12/2016 11:58:21
81,digitalFortress,100,17/12/2016 12:13:31
82,ht,100,17/12/2016 12:29:47
83,how2hack,100,17/12/2016 12:42:28
84,btmc1,100,17/12/2016 12:56:15
85,undefined,100,17/12/2016 13:20:43
86,Pentest,100,17/12/2016 14:11:58
87,AFR8CA,100,17/12/2016 14:28:43
88,HZBL,100,17/12/2016 14:54:04
89,fiveSector,100,17/12/2016 14:56:52
90,qwerty1234,100,17/12/2016 15:29:18
91,Scrypter,100,17/12/2016 15:42:12
92,booms,100,17/12/2016 16:16:59
93,waPTIT,100,17/12/2016 16:21:56
94,Whoareyou,100,17/12/2016 16:39:45
95,ransomware,100,17/12/2016 17:05:45
96,tttttttest,100,17/12/2016 17:06:47
97,teamseven,100,17/12/2016 17:51:51
98,ITDLU,100,17/12/2016 18:45:58
99,skybullet,100,17/12/2016 21:15:11
100,WiningTeeem,100,17/12/2016 21:43:32
101,teamNothingToGlad,100,17/12/2016 21:53:52
102,DFCI,100,17/12/2016 22:08:05
103,Onta,100,17/12/2016 22:27:47
104,khadgar,100,17/12/2016 23:00:38
105,seesecure,100,18/12/2016 02:55:54
106,HydraSec,100,18/12/2016 05:08:03
107,JustMe,100,18/12/2016 05:20:58
108,Colonel0x20,100,18/12/2016 05:43:33
109,zerosama,100,18/12/2016 06:17:32
110,DauGau,100,18/12/2016 08:17:54
111,Icenine,100,18/12/2016 08:46:42
